external_id,question_text,choice_0,choice_1,choice_2,choice_3,correct_index,explanation,type,difficulty,tone,tags,usage_note
TP0131,"A: He's always complaining. B: I know, he's such a pain in the ___.",arm,leg,neck,back,2,非常に面倒な人や物事。,idiom,medium,casual,Social,a pain in the neck で「頭痛の種」「厄介者」。
TP0132,A: Let's ___ the road. We have a long drive ahead.,hit,strike,beat,kick,0,出発する、旅に出ること。,idiom,medium,casual,Travel,hit the road で「出発する」。
TP0133,"A: Do you want to go to the movies? B: I'm broke, so I'll have to ___ on that.",skip,pass,jump,leap,1,誘いなどを断ること。,casual,easy,casual,"Communication, Money",pass on ~ で「～を見送る」「遠慮する」。
TP0134,A: The new restaurant is amazing. B: Really? I'll have to check it ___.,in,out,up,over,1,興味のあるものを見てみる、調べること。,casual,easy,casual,Action,check out で「確認する」「行ってみる」。
TP0135,"A: I'm so tired, I'm going to hit the ___. B: Goodnight!",sack,bag,box,pack,0,寝る、床に就くこと。,idiom,medium,casual,Health,hit the sack (または hay) で「寝る」。
TP0136,"A: She's really smart. B: Yeah, she's a sharp ___.",cookie,biscuit,cake,cracker,0,賢い人、頭の回転が速い人。,idiom,hard,casual,"Learning, Social",a smart/sharp cookie で「抜け目のない人」「賢い人」。
TP0137,"A: I accidentally deleted the file. B: Well, there's no use crying over spilled ___.",water,juice,milk,coffee,2,済んでしまったことを後悔しても仕方がないということ。,idiom,medium,casual,"Emotion, Action",覆水盆に返らず、と同じ意味のことわざ。
TP0138,A: Can I borrow your car? B: Out of the ___. I need it today.,problem,question,answer,topic,1,問題外である、絶対に不可能であること。,idiom,medium,firm,"Communication, Emotion",out of the question で「論外だ」。
TP0139,"A: Are you ready to order? B: Yes, I'll ___ the steak.",take,have,get,make,1,レストランで注文する時の定番の表現。,dining,easy,polite,Food,I'll have ~ で「～にします」。
TP0140,A: This computer is so slow. B: It's a piece of ___.,junk,trash,garbage,all of the above,3,使い物にならない、ガラクタであること。,slang,medium,negative,"Technology, Social",a piece of junk/trash/garbage はいずれも「ガラクタ」を意味します。
TP0141,A: We need to think outside the ___. B: Let's brainstorm some new ideas.,circle,square,box,triangle,2,既存の枠にとらわれずに、独創的に考えること。,idiom,medium,professional,Work,think outside the box はビジネスで非常によく使われる表現。
TP0142,A: I can't decide which phone to buy. B: Take your ___.,time,choice,pick,selection,2,好きなものを選ぶように促す表現。,casual,medium,friendly,"Action, Money",take your pick で「お好きなものをどうぞ」。
TP0143,"A: He's always showing off. B: Yeah, he's so full of ___.",himself,it,pride,confidence,0,うぬぼれている、自己中心的であること。,idiom,medium,negative,"Social, Emotion",be full of oneself で「うぬぼれている」。
TP0144,"A: I'm sorry for the delay. B: No ___, take your time.",rush,hurry,speed,fast,0,急がなくていい、ゆっくりでいいと伝える表現。,casual,easy,polite,"Time, Emotion",No rush は No worries と並んでよく使われる気遣いの言葉。
TP0145,A: Let's call it a ___. I'm exhausted. B: Agreed. See you tomorrow.,day,night,time,week,0,今日の仕事や作業を終わりにすること。,idiom,medium,casual,Work,call it a day で「今日はここまでにしよう」。
TP0146,A: The concert is sold out. B: What a let___!,out,in,down,up,2,期待外れ、がっかりすること。,casual,medium,disappointed,"Emotion, Entertainment",a letdown で「失望」「期待外れ」。
TP0147,A: Are you feeling okay? B: I'm a little ___ the weather.,in,on,under,over,2,体調が少し悪いこと。,idiom,easy,casual,Health,under the weather は体調不良を表す最も一般的なイディオムの一つ。
TP0148,A: Can you keep a secret? B: My lips are ___.,closed,locked,sealed,shut,2,秘密を絶対に漏らさないと約束すること。,idiom,medium,trustworthy,"Description, Action",My lips are sealed. で「口は堅いよ」。
TP0149,"A: I'm in a ___. Can you help me? B: Sure, what's wrong?",bind,tie,knot,loop,0,困った状況、窮地に陥っていること。,idiom,hard,casual,Action,be in a bind で「困った立場にある」。
TP0150,A: The meeting was a total waste of time. B: Tell me about ___!,that,it,this,them,1,相手の不満などに強く同意する表現。,casual,medium,casual,"Social, Emotion",Tell me about it! は「全くだよ！」「言われなくても分かってるよ！」という強い同意。
TP0151,A: I passed the driving test! B: ___!,Congratulations,Commendations,Celebrations,Salutations,0,成功や祝い事に対するお祝いの言葉。,casual,easy,enthusiastic,Social,おめでとう！の定番表現。
TP0152,"A: I'll pay for the drinks. B: No, let's split the ___.",check,bill,tab,all of the above,3,勘定を割り勘にすること。,dining,medium,casual,"Money, Food",split the bill/check/tab はいずれも「割り勘にする」の意味。
TP0153,A: He's a real couch ___. He never exercises.,tomato,potato,carrot,onion,1,ソファに座ってテレビばかり見ている怠惰な人。,idiom,easy,negative,"Daily Life, Emotion",a couch potato は怠け者を指す定番の表現。
TP0154,A: Keep an ___ on my bag while I go to the restroom. B: Sure.,eye,ear,hand,arm,0,目を離さないようにする、見張っておくこと。,idiom,easy,casual,"Action, Emotion",keep an eye on ~ で「～から目を離さない」。
TP0155,"A: I don't want to go to the party. B: Come on, don't be a party ___.",killer,crasher,pooper,stopper,2,座を白けさせる人、ノリの悪い人。,slang,medium,negative,Social,a party pooper で「雰囲気をぶち壊す人」。
TP0156,A: It's raining cats and ___. B: We'd better stay inside.,dogs,mice,birds,pigs,0,どしゃ降りの雨が降っていること。,idiom,easy,casual,Travel,rain cats and dogs で「土砂降りに降る」。
TP0157,A: Break a ___ on your performance tonight! B: Thanks!,arm,leg,back,neck,1,舞台に出る人などへの「頑張って」「幸運を祈る」という励ましの言葉。,idiom,medium,enthusiastic,"Action, Entertainment",演劇界から広まった、Good luck!の代わりの表現。
TP0158,A: We're on the same ___. Let's proceed with the plan.,page,book,paper,sheet,0,状況や考えについて、共通の理解を持っていること。,idiom,easy,professional,"Social, Work",be on the same page で「認識が一致している」。
TP0159,"A: The new phone costs an arm and a ___. B: I know, it's too expensive.",hand,foot,leg,toe,2,非常に値段が高いこと。,idiom,medium,casual,Money,cost an arm and a leg で「莫大な費用がかかる」。
TP0160,A: I'm feeling a bit blue today. B: Cheer ___!,out,up,in,on,1,元気を出すように励ます言葉。,casual,easy,friendly,"Action, Emotion",Cheer up! で「元気出して！」。
TP0161,A: I heard it through the ___. B: Is it true?,grapevine,tree,bush,leaf,0,噂で聞くこと。,idiom,hard,casual,Social,hear ~ through the grapevine で「～を噂で聞く」。
TP0162,A: Don't beat around the ___. Just tell me the truth.,tree,bush,corner,block,1,遠回しに言う、要点を避けること。,idiom,medium,firm,Communication,beat around the bush で「回りくどい言い方をする」。
TP0163,A: He's feeling under the ___. B: Let's give him some space.,gun,pressure,knife,weather,0,締め切りなどの強いプレッシャーにさらされていること。,idiom,hard,casual,Work,under the gun で「重圧を受けて」。
TP0164,A: I'll let you off the ___ this time. B: Thank you!,hook,line,sinker,rod,0,罰や責任から免除すること、見逃してやること。,idiom,medium,casual,"Emotion, Action",let someone off the hook で「（人）を窮地から救う」「見逃す」。
TP0165,A: It's a piece of ___. B: I can do it in 5 minutes.,pie,bread,cake,candy,2,非常に簡単なこと。,idiom,easy,casual,"Action, Work",a piece of cake で「朝飯前」。
TP0166,A: You hit the nail on the ___. B: Exactly!,top,head,point,mark,1,図星を指す、的を射た発言をすること。,idiom,medium,enthusiastic,"Social, Action",hit the nail on the head で「的を射る」。
TP0167,A: Let's play it by ___. B: Sounds good. We'll see how we feel.,eye,nose,ear,mouth,2,状況に応じて臨機応変に対応すること。,idiom,medium,casual,Action,play it by ear で「臨機応変にやる」。
TP0168,A: He spilled the ___ about the surprise party. B: Oh no!,coffee,tea,beans,water,2,うっかり秘密を漏らしてしまうこと。,idiom,medium,casual,"Description, Action",spill the beans で「秘密を漏らす」。
TP0169,A: We're starting from ___. B: Let's make a new plan.,zero,one,scratch,start,2,ゼロから、最初からやり直すこと。,idiom,medium,professional,Action,start from scratch で「ゼロから始める」。
TP0170,A: The ball is in your ___. B: I'll make a decision by tomorrow.,field,court,side,area,1,次はあなたが行動を起こす番である、決定権はあなたにあるということ。,idiom,medium,professional,Action,the ball is in someone's court で「（人）の責任（番）である」。
TP0171,A: I really don't want to go to the dentist. B: You just have to ___.,chew the bullet,swallow the bullet,spit the bullet,bite the bullet,3,嫌なことや避けて通れないことを我慢して受け入れること。,idiom,hard,casual,Emotion,bite the bulletで「困難に立ち向かう」「嫌なことを我慢する」という意味になります。
TP0172,"A: Did the new intern finish the project? B: No, he just couldn't ___.",chop the onion,peel the potato,cut the mustard,slice the cheese,2,期待される基準を満たす、十分な働きをすること。,idiom,hard,casual,Work,否定形で使われることが多く、「期待外れ」「基準に達しない」という意味になります。
TP0173,"A: That TV show used to be great, but now it's terrible. B: Yeah, it really ___.",skipped the fish,jumped the shark,leaped the whale,hopped the dolphin,1,テレビ番組などがピークを過ぎて質が低下し始めた転換点のこと。,idiom,hard,casual,"Action, Entertainment",アメリカのテレビドラマ「ハッピーデイズ」のエピソードに由来する表現です。
TP0174,A: Why did he blame you for the mistake? B: He completely threw me ___.,under the train,under the bus,under the truck,under the car,1,自分の利益や保身のために、仲間を裏切ったり犠牲にしたりすること。,idiom,hard,casual,"Social, Emotion",ビジネスや人間関係で、責任をなすりつけられた時によく使われます。
TP0175,A: What did you guys do all afternoon? B: We just sat on the porch and ___.,kicked the air,fired the wind,shot the breeze,punched the storm,2,とりとめもないおしゃべりをする、雑談すること。,idiom,hard,casual,"Social, Emotion",shoot the breezeで「気楽に雑談する」というアメリカ特有の表現です。
TP0176,A: He took on three new projects at once. B: I think he ___.,cooked more than he could eat,drank more than he could hold,ate more than he could swallow,bit off more than he could chew,3,自分の能力を超えた大きな仕事や責任を引き受けてしまうこと。,idiom,hard,casual,Work,bite off more than one can chewで「無理をする」「背伸びをする」という意味です。
TP0177,A: We need to solve this budget issue now. B: Let's not just ___.,kick the can down the road,push the rock up the hill,roll the tire down the street,throw the ball over the fence,0,問題の解決を先送りすること。,idiom,hard,professional,Action,政治やビジネスの文脈で、問題を後回しにする際によく使われる表現です。
TP0178,"A: The new software is so complicated. B: I know, I can't ___ it.",fold my mind around,wrap my head around,tie my brain around,twist my thoughts around,1,複雑なことや信じがたいことを理解したり受け入れたりすること。,idiom,hard,casual,"Communication, Learning",否定形で「どうしても理解できない」というニュアンスでよく使われます。
TP0179,"A: I don't like the new manager. B: Yeah, he ___.",scratches me the wrong way,strokes me the wrong way,rubs me the wrong way,brushes me the wrong way,2,（特に理由はないが）人をイライラさせたり、不快な気分にさせたりすること。,idiom,hard,casual,Social,猫の毛を逆撫ですることから派生した表現です。
TP0180,A: Suddenly everyone is wearing those ugly shoes. B: They all ___.,stepped on the boat,hopped on the train,climbed on the bus,jumped on the bandwagon,3,流行に乗る、時流に乗ること。,idiom,hard,casual,Action,jump on the bandwagonで「勝ち馬に乗る」「流行に便乗する」という意味になります。
TP0181,"A: Did you prepare a speech for the meeting? B: No, I'm just going to ___.",sail by the wind,fly by the seat of my pants,run by the shoes,drive by the steering wheel,1,計画や準備なしに、直感や経験に頼って行動すること。,idiom,hard,casual,Action,航空用語に由来し、勘を頼りに物事を進める時に使われます。
TP0182,"A: The client rejected our proposal. B: Well, it's ___.",back to the sketch pad,back to the white board,back to the drawing board,back to the note book,2,計画が失敗し、最初からやり直すこと。,idiom,hard,professional,Action,ビジネスで、計画を白紙に戻して再出発する時によく使われます。
TP0183,A: The new CEO is making changes on his first day. B: He really ___.,jumped the street walking,hit the ground running,touched the floor sprinting,stepped the earth jogging,1,新しい仕事や活動を、準備万端で勢いよく始めること。,idiom,hard,professional,"Action, Emotion",即戦力としてすぐに全力で活動を開始するニュアンスがあります。
TP0184,A: Why are you arguing against my idea? B: I'm just ___.,playing devil's advocate,playing demon's advocate,playing god's advocate,playing angel's advocate,0,議論を深めるために、あえて反対意見や批判的な立場をとること。,idiom,hard,professional,"Communication, Social",会議などで、別の視点を提供するためにわざと反論する時によく使われます。
TP0185,A: I have to work on the weekend while everyone else rests. B: You really ___.,got the bad half of the apple,got the small piece of the pie,got the wrong side of the bed,got the short end of the stick,3,不公平な扱いを受ける、貧乏くじを引くこと。,idiom,hard,casual,Action,取引や状況において、自分だけが損な役回りをさせられた時に使われます。
TP0186,"A: He thinks I stole his pen, but I didn't. B: He's ___.",meowing at the wrong door,barking up the wrong tree,chirping at the wrong window,howling at the wrong moon,1,見当違いをしている、間違った相手を非難していること。,idiom,hard,casual,"Action, Social",猟犬が獲物のいない木に向かって吠えることから来ています。
TP0187,"A: I was going to announce my engagement, but my sister announced her pregnancy first. B: She totally ___.",caught your storm,grabbed your rain,stole your thunder,took your lightning,2,他人の手柄や注目を横取りすること。,idiom,hard,casual,"Learning, Emotion",自分が主役になるはずだった場面で、他の人に話題を奪われた時に使われます。
TP0188,A: The rumor is spreading fast. B: We need to ___.,chop it at the stem,pluck it at the leaf,cut it at the root,nip it in the bud,3,問題が大きくなる前に、初期の段階で摘み取ること。,idiom,hard,professional,Action,nip ~ in the budで「未然に防ぐ」「初期段階で対処する」という意味です。
TP0189,"A: Did he prepare his remarks? B: No, he spoke completely ___.",off the cuff,off the sleeve,off the pocket,off the collar,0,即興で、準備なしに話したり行動したりすること。,idiom,hard,casual,"Action, Social",スピーチやコメントを即席で行う時によく使われる表現です。
TP0190,"A: I started reading about conspiracy theories on Wikipedia. B: Careful, don't ___.",fall into a snake pit,climb down a spider web,go down a rabbit hole,jump into a bear cave,2,ある話題や活動に深くのめり込み、抜け出せなくなること。,idiom,hard,casual,"Emotion, Technology",「不思議の国のアリス」に由来し、ネットサーフィンなどで時間を忘れる時によく使われます。
TP0191,"A: Who forgot to send the client the contract? B: Sorry, I ___.",fumbled the pass,dropped the ball,missed the catch,lost the game,1,ミスをする、責任を果たし損ねること。,idiom,hard,professional,"Action, Work",スポーツ（特に野球やアメフト）に由来し、自分の担当で失敗した時に使われます。
TP0192,"A: That question during the interview was so unexpected. B: Yeah, it came totally ___.",out of the dugout,out of right field,out of center field,out of left field,3,完全に予想外である、唐突であること。,idiom,hard,casual,"Emotion, Action",野球に由来し、思いがけない質問や出来事に対して使われます。
TP0193,"A: The manager quit, so someone needs to lead the team. B: It's time for you to ___.",walk up to the mound,run to the base,step up to the plate,slide into home,2,責任ある立場を引き受ける、困難な状況で行動を起こすこと。,idiom,hard,professional,Work,野球でバッターボックスに立つことから、責任を負う覚悟を決める時に使われます。
TP0194,"A: I wanted to tell him his idea was terrible, but I didn't. B: Good thing you ___.",shut your lips,held your breath,closed your mouth,bit your tongue,3,言いたいことをぐっとこらえる、黙っていること。,idiom,hard,casual,Communication,言ってはいけないことや、後悔しそうな発言を我慢した時に使われます。
TP0195,A: He invested all his savings in one startup. B: He shouldn't ___.,put all his eggs in one basket,put all his coins in one jar,put all his cards on one table,put all his apples in one bag,0,すべての資源や希望を一つのものに集中させること（リスクが高いこと）。,idiom,hard,professional,"Action, Money",投資やキャリアにおいて、リスクを分散させないことへの警告として使われます。
TP0196,"A: I can't believe we won! B: I know, it's ___!",grapes,bananas,apples,oranges,1,「信じられない」「狂っている」という意味のスラング。,slang,easy,casual,Emotion,驚きや興奮を表す時によく使われます
TP0197,A: I have to work late again. B: That ___!,licks,bites,sucks,chews,2,「最悪だ」「がっかりだ」という意味のカジュアルな表現。,slang,easy,casual,"Emotion, Social",不満を表す非常によく使われるスラングです
TP0198,A: I'm so hungry. B: Let's grab some ___!,club,scrub,tub,grub,3,「食べ物」「食事」という意味のスラング。,slang,easy,casual,Food,カジュアルに食事に誘う時によく使われます
TP0199,"A: Are you ready to go? B: Yeah, let's hit the ___!",road,way,street,path,0,「出発する」「旅に出る」という意味のイディオム。,idiom,easy,casual,Travel,どこかへ出かける際によく使われる表現です
TP0200,A: How much did that cost? B: An arm and a ___!,finger,hand,foot,leg,3,「非常に高価である」という意味のイディオム。,idiom,medium,casual,Money,値段が高すぎることを強調する時に使われます
TP0201,A: I'm really tired. B: Let's call it a ___!,night,day,month,week,1,「今日はこれで終わりにする」という意味の表現。,idiom,easy,casual,"Work, Action",仕事や作業を切り上げる時によく使われます
TP0202,"A: It's raining really hard. B: Yeah, it's raining cats and ___!",birds,fish,dogs,mice,2,「土砂降りの雨が降る」という意味の古いイディオム。,idiom,medium,casual,Travel,古典的な表現ですが、今でも時々使われます
TP0203,"A: Did you understand the joke? B: No, it went over my ___!",thoughts,mind,brain,head,3,「理解できない」「難しすぎる」という意味のイディオム。,idiom,medium,casual,"Communication, Learning",冗談や難しい話が理解できなかった時に使われます
TP0204,A: I'm feeling a bit sick. B: You look under the ___!,weather,rain,clouds,storm,0,「体調が悪い」という意味の一般的なイディオム。,idiom,easy,casual,Health,少し具合が悪いことを伝える丁寧な表現です
TP0205,"A: Good luck on your test! B: Thanks, I'll break a ___!",arm,foot,leg,hand,2,「頑張って」「幸運を祈る」という意味のイディオム。,idiom,medium,friendly,Action,舞台に立つ人への励ましの言葉から来ています
TP0206,"A: I want to quit. B: Don't give up, hang in ___!",out,there,on,here,1,「諦めずに頑張れ」という意味の励ましの言葉。,idiom,easy,friendly,Action,困難な状況にいる人を励ます時によく使われます
TP0207,"A: He's always complaining. B: Yeah, he's a pain in the ___!",arm,head,back,neck,3,「悩みの種」「厄介な人」という意味のイディオム。,idiom,medium,casual,Social,煩わしい人や物事を表す時によく使われます
TP0208,"A: I made a mistake. B: It's okay, we all mess ___!",up,down,out,in,0,「失敗する」「間違える」という意味のカジュアルな表現。,casual,easy,casual,"Action, Emotion",失敗を慰める時にもよく使われます
TP0209,"A: She solved the puzzle instantly. B: Yeah, she's a sharp ___!",cake,cookie,pie,candy,1,「頭が良い人」「抜け目ない人」という意味のイディオム。,idiom,medium,casual,"Learning, Social",賢い人を褒める時に使われる表現です
TP0210,A: Let's start the meeting. B: Let's get the ball ___!,bouncing,spinning,moving,rolling,3,「物事を始める」「軌道に乗せる」という意味のイディオム。,idiom,medium,professional,"Action, Work",プロジェクトや会議を始める時によく使われます
TP0211,A: Do you know when he'll arrive? B: Your guess is as good as ___!,hers,yours,mine,his,2,「私にも全く分からない」という意味の表現。,idiom,medium,casual,Learning,相手と同じくらい自分も知らないことを強調する時に使われます
TP0212,A: He's ignoring me. B: He's giving you the cold ___!,shoulder,arm,back,hand,0,「よそよそしい態度をとる」「無視する」という意味のイディオム。,idiom,medium,casual,"Social, Communication",意図的に冷たくあしらわれている時に使われます
TP0213,"A: Can you lend me $10? B: Sorry, I'm short on ___!",money,bills,coins,cash,3,「お金が足りない」「手持ちがない」という意味の表現。,casual,easy,casual,Money,現金を持っていない時によく使われます
TP0214,A: Let's go to the party. B: I'm down for ___!,everything,whatever,anything,something,1,「何でもいいよ」「賛成だよ」という意味のスラング。,slang,easy,casual,"Social, Action",提案に対して柔軟な姿勢を示す時に使われます
TP0215,A: I'm so stressed about the exam. B: Take it ___!,quiet,calm,easy,slow,2,「気楽にいこう」「落ち着いて」という意味の表現。,casual,easy,friendly,Emotion,別れの挨拶としてもよく使われます
TP0216,"A: He bought a mansion. B: Yeah, he's loaded with ___!",bread,dough,meat,cheese,1,「お金をたくさん持っている」という意味のスラング。,slang,medium,casual,Money,doughはお金を意味する古いスラングです
TP0217,A: I'm going to bed. B: Sweet ___!,night,sleep,dreams,rest,2,「良い夢を」という意味の寝る前の挨拶。,casual,easy,friendly,"Health, Social",親しい人に対してよく使われる表現です
TP0218,A: Watch out for the ball! B: Heads ___!,up,in,out,down,0,「気をつけて」「危ない」という意味の警告。,casual,easy,casual,"Emotion, Daily Life",何かが飛んできた時などに咄嗟に使われます
TP0219,A: This movie is so boring. B: You can say that ___!,loud,again,twice,more,1,「全くその通りだ」「大賛成だ」という意味の表現。,idiom,medium,casual,"Social, Communication",相手の意見に強く同意する時によく使われます
TP0220,"A: I have a great idea! B: Tell me, I'm all ___!",eyes,hands,ears,attention,2,「熱心に聞いている」「聞く耳を持っている」という意味のイディオム。,idiom,easy,friendly,"Communication, Learning",相手の話に興味があることを示す時に使われます
TP0221,A: It's a surprise party. B: Keep it under ___!,blankets,sheets,covers,wraps,3,「秘密にしておく」という意味のイディオム。,idiom,medium,casual,Description,まだ公表されていない計画などについて使われます
TP0222,A: He quit his job to become a clown. B: He's out of his ___!,thoughts,head,brain,mind,3,「正気ではない」「気が狂っている」という意味の表現。,idiom,easy,casual,Emotion,信じられない行動をとった人に対して使われます
TP0223,A: Let's share the bill. B: Let's go ___!,Dutch,Spanish,French,German,0,「割り勘にする」という意味のイディオム。,idiom,easy,casual,"Money, Food",食事の会計を分ける時によく使われます
TP0224,A: She got the job! B: She must be on cloud ___!,ten,nine,seven,eight,1,「とても幸せである」「有頂天である」という意味のイディオム。,idiom,medium,casual,Emotion,最高の気分であることを表現する時に使われます
TP0225,"A: Was the test hard? B: No, it was a piece of ___!",bread,cheese,cake,pie,2,「とても簡単である」という意味の定番イディオム。,idiom,easy,casual,"Action, Description",苦労せずにできることを表す時によく使われます
TP0226,"A: Did you finish the report? B: Stop asking, get off my ___!",neck,case,tail,back,3,「干渉しないで」「放っておいて」という意味の表現。,idiom,medium,rude,Social,しつこく言われてイライラしている時に使われます
TP0227,"A: Can you help me with this? B: Sorry, I have a lot on my ___!",dish,bowl,plate,table,2,「やるべきことがたくさんある」「忙しい」という意味のイディオム。,idiom,medium,professional,Work,仕事や予定が詰まっていることを丁寧に伝える時に使われます
TP0228,A: We're going to be late! B: Keep your shirt ___!,up,on,down,off,1,「落ち着いて」「慌てないで」という意味のカジュアルな表現。,idiom,medium,casual,Emotion,焦っている人をなだめる時に使われます
TP0229,"A: You won a million dollars?! B: No, I'm just pulling your ___!",leg,ear,arm,hair,0,「からかっているだけ」「冗談だよ」という意味のイディオム。,idiom,medium,casual,Emotion,相手をからかった後に種明かしをする時に使われます
TP0230,A: Let's finish this quickly. B: Let's make it ___!,rapid,fast,quick,snappy,3,「手早く済ませよう」「急いで」という意味の表現。,casual,medium,casual,Travel,作業を素早く終わらせたい時によく使われます
TP0231,"A: It's getting late. B: Yeah, I'm heading ___!",off,out,away,home,1,「出かける」「帰る」という意味のカジュアルな表現。,casual,easy,casual,Travel,その場から離れることを伝える時によく使われます
TP0232,A: He broke the window. B: He's in hot ___ now!,tea,soup,coffee,water,3,「面倒なことになっている」「窮地に陥っている」という意味のイディオム。,idiom,medium,casual,Action,怒られたり罰を受けたりしそうな状況で使われます
TP0233,A: The floor is wet. B: Watch your ___!,shoes,step,walk,feet,1,「足元に気をつけて」という意味の一般的な警告。,casual,easy,casual,"Emotion, Daily Life",滑りやすい場所や段差がある場所でよく使われます
TP0234,A: Why is he yelling? B: He's seeing ___!,red,blue,white,black,0,「激怒している」「頭に血が上っている」という意味のイディオム。,idiom,medium,casual,Emotion,怒りで周りが見えなくなっている状態を表します
TP0235,"A: How did you two meet? B: To make a long story ___, we met at a cafe.",brief,fast,short,quick,2,「手短に言うと」「要するに」という意味のイディオム。,idiom,easy,casual,Communication,長い話を端折って結論を言う時によく使われます
TP0236,A: Do you care what he thinks? B: I couldn't care ___!,much,less,more,at all,1,「全く気にしない」「どうでもいい」という意味の表現。,casual,medium,casual,Emotion,無関心であることを強く主張する時に使われます
TP0237,A: He watches TV all day. B: He's such a couch ___!,onion,carrot,potato,tomato,2,「一日中ソファーに座ってテレビばかり見ている怠け者」という意味のスラング。,slang,easy,casual,"Emotion, Daily Life",運動不足で怠惰な人をからかう時によく使われます
TP0238,A: How do you feel after the massage? B: I feel like a million ___!,dollars,bucks,bills,coins,1,「最高の気分だ」「とても体調が良い」という意味のイディオム。,idiom,medium,casual,"Health, Emotion",bucksはdollarsのスラングで、気分爽快な時に使われます
TP0239,"A: I'm moving to a new city. B: Good luck, and don't be a ___!",shadow,alien,ghost,stranger,3,「また連絡してね」「疎遠にならないでね」という意味の別れの挨拶。,casual,medium,friendly,Social,しばらく会えなくなる友人に対してよく使われます
TP0240,"A: I'm so tired of studying. B: Hang in ___, the exam is tomorrow!",there,here,out,on,0,「諦めずに頑張れ」「持ちこたえろ」という意味の励ましの言葉。,idiom,easy,friendly,Action,辛い状況にいる人を応援する時の定番フレーズです
TP0241,"A: He told everyone my secret! B: Yeah, he has a big ___!",teeth,lips,mouth,tongue,2,「口が軽い」「おしゃべりだ」という意味のイディオム。,idiom,easy,casual,"Description, Social",秘密を守れない人や余計なことを言う人に対して使われます
TP0242,"A: Are you ready for the game? B: Yeah, I'm pumped ___!",out,in,down,up,3,「気合が入っている」「とても興奮している」という意味のスラング。,slang,medium,casual,Emotion,試合やイベントの前に気分が高揚している時に使われます
TP0243,A: I forgot to bring the pen. B: It's no big ___!,problem,deal,thing,issue,1,「大したことない」「気にしないで」という意味の表現。,casual,easy,casual,Emotion,相手の小さなミスを許す時によく使われます
TP0244,"A: Do you have everything you need? B: Yeah, I'm good to ___!",move,start,leave,go,3,「準備万端だ」「いつでも出発できる」という意味のカジュアルな表現。,casual,easy,casual,Action,出かける前やプロジェクトを始める前によく使われます
TP0245,A: He's always tapping his pen. B: It really gets on my ___!,skin,nerves,mind,brain,1,「神経に障る」「イライラさせる」という意味のイディオム。,idiom,medium,casual,"Social, Emotion",誰かの行動が不快で我慢できない時に使われます
TP0246,"A: I'll finish this report today. B: Great, let's take this ___.",online,outside,offline,inside,2,会議の場から離れて後で個別に話すこと。,workplace,medium,professional,Work,リモート会議で頻出
TP0247,"A: The internet was cutting out. B: Yeah, you were frozen for a ___.",minute,hour,day,second,3,「ちょっとの間」という意味。,casual,easy,casual,"Work, Technology",ビデオ通話でよく使われる
TP0248,"A: Sorry, I was on mute. B: No worries, we've all been ___.",there,here,everywhere,nowhere,0,「自分も同じ経験がある」という共感。,casual,easy,friendly,"Work, Emotion",ビデオ通話での失敗に対する定番のフォロー
TP0249,A: Let's align on the goals. B: We need to make sure we're on the same ___.,book,page,sheet,paper,1,「共通認識を持つ」という意味。,workplace,easy,professional,"Work, Social",会議の目的確認でよく使われる
TP0250,"A: I have a hard stop at 3 PM. B: Okay, we'll ___ up before then.",tie,fold,wrap,pack,2,「終了する、まとめる」という意味。,workplace,medium,professional,"Work, Time",会議を時間通りに終わらせる時
TP0251,"A: Can you ping me later? B: Sure, I'll ___ you a message on Slack.",throw,hit,kick,shoot,3,「サッとメッセージを送る」という意味。,workplace,medium,casual,"Work, Communication",チャットツールでの連絡を指す
TP0252,A: We need more bandwidth for this project. B: I'm currently stretched too ___.,thin,thick,long,short,0,「手一杯で余裕がない」という意味。,workplace,medium,professional,Work,リソース不足を伝える時
TP0253,A: Let's circle back on this tomorrow. B: Sounds like a ___.,idea,plan,thought,choice,1,「それでいこう」という賛成の表現。,workplace,easy,casual,"Work, Social",提案に軽く同意する時
TP0254,"A: I'll share my screen. B: Okay, we can see your ___.",board,table,deck,desk,2,「プレゼン資料（スライド）」のこと。,workplace,medium,professional,Work,スライドの束（deck of cards）から来ている
TP0255,A: We're boiling the ocean here. B: Let's focus on the low-hanging ___.,leaves,branches,roots,fruit,3,「簡単に達成できる目標」のこと。,workplace,hard,professional,Work,すぐに成果が出せるものから着手する時
TP0256,"A: Did he text you back? B: No, he left me on ___.",read,seen,opened,viewed,0,「既読スルー」のこと。,texting,easy,casual,"Communication, Social",返信がない状態
TP0257,A: How was the Tinder date? B: He completely ___ me.,dogfished,catfished,birdfished,fishfished,1,「ネット上で別人になりすます」こと。,dating,medium,casual,"Social, Technology",写真と実物が全く違う時など
TP0258,"A: Are you guys officially dating? B: No, it's just a ___.",relationship,friendship,situationship,partnership,2,「友達以上恋人未満の曖昧な関係」のこと。,dating,hard,casual,Social,Z世代の間でよく使われる
TP0259,A: I think he likes me. B: He's definitely sliding into your ___.,PMs,texts,chats,DMs,3,「ダイレクトメッセージを送ってアプローチする」こと。,dating,medium,casual,"Social, Technology",SNSでのナンパやアプローチ
TP0260,A: She canceled our date again. B: She's totally ___ you along.,stringing,pulling,dragging,pushing,0,「気があるふりをして相手を振り回す」こと。,dating,medium,casual,Social,本気ではないのに関係を長引かせる時
